nb_processes;mb_per_process;read_time;write_time;overall_time;max_bandwidth
7;7;0.00679;0.02149;0.02829;1732.3
8;7;0.04381;0.03675;0.08055;695.2
1;8;0.00235;0.00791;0.01026;779.8
2;8;0.08515;0.01413;0.09927;161.2
3;8;0.08211;0.14785;0.22997;104.4
4;8;0.13928;0.28243;0.42170;75.9
5;8;0.10538;0.56477;0.67015;59.7
6;8;0.08479;0.55743;0.64222;74.7
7;8;0.14039;0.84016;0.98055;57.1
8;8;0.14689;1.44930;1.59619;40.1
1;9;0.00676;0.03002;0.03678;244.7
2;9;0.08463;0.06891;0.15354;117.2
3;9;0.09088;0.17802;0.26890;100.4
4;9;0.07431;0.31048;0.38478;93.6
5;9;0.09991;0.58270;0.68261;65.9
6;9;0.15032;0.70762;0.85794;62.9
7;9;0.07563;0.79399;0.86962;72.4
8;9;0.08668;1.10400;1.19068;60.5
1;10;0.01899;0.00905;0.02804;356.6
2;10;0.07708;0.09658;0.17366;115.2
3;10;0.10654;0.23622;0.34276;87.5
4;10;0.08464;0.38803;0.47267;84.6
5;10;0.18517;0.91317;1.09833;45.5
6;10;0.30860;1.53932;1.84791;32.5
7;10;0.12679;1.61141;1.73821;40.3
8;10;0.07174;1.66612;1.73787;46.0
1;11;0.03250;0.00788;0.04038;272.4
2;11;0.07706;0.11554;0.19260;114.2
3;11;0.09926;0.26585;0.36510;90.4
4;11;0.07127;0.46912;0.54039;81.4
5;11;0.18225;0.88041;1.06265;51.8
6;11;0.10141;1.06772;1.16913;56.5
7;11;0.06990;0.97336;1.04326;73.8
8;11;0.09221;1.07418;1.16639;75.4
1;12;0.09849;0.00893;0.10742;111.7
2;12;0.11024;0.20406;0.31430;76.4
3;12;0.07261;0.52212;0.59473;60.5
4;12;0.12695;0.61132;0.73827;65.0
5;12;0.09867;0.93949;1.03817;57.8
6;12;0.11159;1.00221;1.11379;64.6
7;12;0.12325;1.30044;1.42369;59.0
8;12;0.08539;1.46806;1.55345;61.8
1;13;0.08678;0.00974;0.09652;134.7
2;13;0.08687;0.17388;0.26074;99.7
3;13;0.10059;0.32875;0.42934;90.8
4;13;0.10479;0.64170;0.74648;69.7
5;13;0.11057;1.20424;1.31482;49.4
6;13;0.16554;1.28013;1.44567;54.0
7;13;0.18870;1.74115;1.92984;47.2
8;13;0.12532;1.93030;2.05562;50.6
1;14;0.18866;0.01085;0.19951;70.2
2;14;0.08485;0.38197;0.46682;60.0
3;14;0.10535;0.44584;0.55120;76.2
4;14;0.13090;0.71916;0.85006;65.9
5;14;0.14357;1.42538;1.56895;44.6
6;14;0.15814;1.62658;1.78472;47.1
7;14;0.12350;1.90909;2.03259;48.2
8;14;0.33655;2.22561;2.56216;43.7
1;15;0.10067;0.18276;0.28343;52.9
2;15;0.11868;0.26009;0.37876;79.2
3;15;0.10040;0.52408;0.62449;72.1
4;15;0.10162;0.76101;0.86263;69.6
5;15;0.13589;0.94177;1.07766;69.6
6;15;0.14303;1.28279;1.42582;63.1
7;15;0.12532;1.59814;1.72347;60.9
8;15;0.23093;3.14656;3.37749;35.5
1;16;0.12399;0.17241;0.29640;54.0
2;16;0.18144;0.56846;0.74990;42.7
3;16;0.21161;0.78439;0.99599;48.2
4;16;0.01228;1.95343;1.96570;32.6
5;16;0.16981;1.73746;1.90727;41.9
6;16;0.08396;2.36981;2.45377;39.1
7;16;0.10397;2.40149;2.50546;44.7
8;16;0.17040;2.04369;2.21409;57.8
1;1;0.00024;0.00082;0.00106;942.6
2;1;0.00062;0.00164;0.00226;884.1
3;1;0.00088;0.00216;0.00303;988.7
4;1;0.00106;0.00298;0.00404;990.5
5;1;0.00121;0.00376;0.00496;1007.8
6;1;0.00129;0.00376;0.00505;1188.5
7;1;0.00185;0.00462;0.00647;1081.7
8;1;0.00197;0.00600;0.00797;1003.2
1;2;0.00048;0.00139;0.00186;1074.9
2;2;0.00093;0.00280;0.00373;1071.2
3;2;0.00118;0.00412;0.00530;1132.2
4;2;0.00148;0.00509;0.00657;1217.8
5;2;0.00192;0.00444;0.00636;1571.3
6;2;0.00243;0.00618;0.00860;1395.1
7;2;0.00293;0.00862;0.01154;1213.0
8;2;0.00287;0.01261;0.01548;1033.5
1;3;0.00092;0.00204;0.00296;1013.8
2;3;0.00146;0.00382;0.00529;1134.5
3;3;0.00480;0.00664;0.01144;786.7
4;3;0.00338;0.00812;0.01150;1043.6
5;3;0.00325;0.01112;0.01438;1043.5
6;3;0.07547;0.04790;0.12337;145.9
7;3;0.00432;0.01064;0.01496;1403.4
8;3;0.00393;0.01752;0.02146;1118.6
1;4;0.00114;0.00264;0.00378;1057.4
2;4;0.00173;0.00503;0.00676;1183.4
3;4;0.00197;0.00577;0.00774;1550.2
4;4;0.06433;0.01113;0.07546;212.0
5;4;0.00455;0.00747;0.01201;1665.0
6;4;0.00456;0.02002;0.02458;976.3
7;4;0.00500;0.01262;0.01762;1588.8
8;4;0.01071;0.02477;0.03548;902.0
1;5;0.00139;0.00336;0.00475;1052.2
2;5;0.09006;0.00635;0.09641;103.7
3;5;0.00278;0.00958;0.01237;1213.1
4;5;0.00390;0.01392;0.01781;1122.8
5;5;0.00483;0.01426;0.01909;1309.6
6;5;0.00451;0.01678;0.02128;1409.5
7;5;0.00480;0.01935;0.02415;1449.1
8;5;0.00658;0.02137;0.02795;1431.2
1;6;0.00165;0.00370;0.00535;1121.5
2;6;0.11964;0.00755;0.12720;94.3
3;6;0.10122;0.21924;0.32046;56.2
4;6;0.07545;0.32626;0.40171;59.7
5;6;0.00483;0.01441;0.01923;1559.7
6;6;0.00505;0.02251;0.02756;1306.3
7;6;0.00717;0.02848;0.03565;1178.2
8;6;0.05469;0.08111;0.13581;353.4
1;7;0.00225;0.00463;0.00688;1017.7
2;7;0.06088;0.00962;0.07051;198.6
3;7;0.07520;0.13734;0.21254;98.8
4;7;0.08282;0.02283;0.10565;265.0
5;7;0.00523;0.02600;0.03124;1120.5
6;7;0.00689;0.02485;0.03173;1323.5
7;7;0.00664;0.02987;0.03652;1341.8
8;7;0.00779;0.03205;0.03984;1405.7
1;8;0.00278;0.00642;0.00920;869.4
2;8;0.08321;0.09608;0.17929;89.2
3;8;0.08924;0.22543;0.31467;76.3
4;8;0.18451;0.32704;0.51155;62.6
5;8;0.14554;0.54427;0.68980;58.0
6;8;0.09306;0.90513;0.99818;48.1
